"Bacterial.Species","Organism.Name","Body.Site","Animal.Species","Date.and.Time","AMIKAC","AMOCLA","AMOXIC","AMPHOT","AMPICI","ANIDUL","AZITHR","BACITR","CASPOF","CEFAZO","CEFOVE","CEFOXI","CEFPOD","CEFTAZ","CEFTIF","CEPALE","CEPHAL","CHLORA","CHLTET","CIPROF","CLARYT","CLINDA","DANOFL","DAPTOM","DOXYCY","ENROFL","ERYTH","FLORFE","FLUCON","FLUCYT","GENTAM","IMIPEN","ITRACO","KANAMY","LINCOM","LINEZO","MARBOF","MICAFU","MINOCY","MOXIFL","NEOMYC","NITRO","NOVOBI","OFLOXA","ORBIFL","OXACIL","OXYTET","PENICI","PIPTAZ","POLYB","POSACO","PRADOF","RIFAMP","SDIMET","SPECT","STREPT","SULTHI","SYNERC","TETRA","TIAMUL","TICARC","TICCLA","TIGECY","TILMIC","TOBRAM","TRISUL","TULATH","TYLO","VANCOM","VORICO"
"S.PSE","Staphylococcus pseudintermediu    ","URI","CAN","1/5/2016 7:35",NA," =      16",NA,NA," =      64",NA,NA,NA,NA,NA,NA,NA,NA,NA," >       4"," =     256",NA,NA,NA,NA,NA,NA,NA,NA,NA," >       4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," =      64",NA,NA,NA,NA,NA,NA," =       8",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","URI","CAN","1/6/2016 10:48",NA,"<=       2",NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=     0.5","<=       4",NA,NA,NA,NA,NA,NA,NA,NA,NA," =    0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," =      64",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","BONE","CAN","1/5/2017 14:39","<=       4","<=    0.12",NA,NA," =    0.25",NA,NA,NA,NA,"<=       1","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,"<=       2","<=       4",NA,NA,NA,"<=     0.5",NA,NA," =       4","<=    0.25","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA," =     0.5",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA," =     0.5",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","URICYST","CAN","1/7/2016 8:46",NA,"<=       2",NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=     0.5","<=       4",NA,NA,NA,NA,NA,NA,NA,NA,NA," =    0.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," =      64",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","URICATH","CAN","1/6/2016 7:45",NA,"<=       2",NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=     0.5","<=       4",NA,NA,NA,NA,NA,NA,NA,NA,NA," =    0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","CORN","CAN","1/5/2017 8:03","<=      16",NA,NA,NA,NA,NA,NA," >       4",NA,"<=       8",NA,NA,NA,NA,"<=       2",NA,NA,"<=       4",NA,"<=       1",NA,NA,NA,NA," >       2",NA,"<=     0.5",NA,NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,NA,NA,"<=     0.5","<=       4",NA,NA," =    0.25",NA,NA," >       4",NA,NA,"<=       5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=      16",NA,NA,NA,"<=       4","<=       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermedius","VAG","CAN","1/5/2018 13:05","<=      16","<=    0.25",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       2","0.25",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,"<=     0.5",NA,NA,"0.25","<=    0.25","<=    0.25",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,"<=       1",NA,"<=     0.5",NA,NA,"<=      16",NA,NA,NA,"<=    0.25",NA,"0.5",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,"0.5",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","SKI","CAN","1/5/2018 13:03","<=      16","<=    0.25",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       2","0.25",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,"<=     0.5",NA,NA,">     0.5","<=    0.25","<=    0.25",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,"<=       1",NA,">       2",NA,NA,"<=      16",NA,NA,NA,"<=    0.25",NA,"<=    0.06",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","URICYST","CAN","1/5/2018 7:06",NA,"8",NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,">       4","64",NA,NA,NA,NA,NA,NA,NA,NA,NA,">       4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64",NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermedius","SKI","CAN","1/7/2020 12:54","<=      16","8",NA,NA,">       8",NA,NA,NA,NA,">       4",">       8",NA,">       8",NA,NA,NA,">       4","<=       8",NA,NA,NA,">       4",NA,NA,">     0.5",">       4",">       4",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,">       4",NA,"2",NA,NA,"<=      16",NA,NA,NA,">       2",NA,">       8",NA,NA,NA,"2","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,">       4",NA,NA,"<=       1",NA
